whed_1  |  LOG  Processing Lebanon
whed_1  |  RESULT  Lebanon total result 40
whed_1  |  LOG  Processing Lesotho
whed_1  |  RESULT  Lesotho total result 3
whed_1  |  LOG  Processing Liberia
whed_1  |  RESULT  Liberia total result 6
whed_1  |  LOG  Processing Libya
whed_1  |  RESULT  Libya total result 15
whed_1  |  LOG  Processing Liechtenstein
whed_1  |  RESULT  Liechtenstein total result 3
whed_1  |  LOG  Processing Lithuania
whed_1  |  RESULT  Lithuania total result 18
whed_1  |  LOG  Processing Luxembourg
whed_1  |  RESULT  Luxembourg total result 1
whed_1  |  LOG  Processing Madagascar
whed_1  |  RESULT  Madagascar total result 56
whed_1  |  LOG  Processing Malawi
whed_1  |  RESULT  Malawi total result 19
whed_1  |  LOG  Processing Malaysia
whed_1  |  RESULT  Malaysia total result 81
whed_1  |  LOG  Processing Maldives
whed_1  |  RESULT  Maldives total result 9
whed_1  |  LOG  Processing Mali
whed_1  |  RESULT  Mali total result 23
whed_1  |  LOG  Processing Malta
whed_1  |  RESULT  Malta total result 2
whed_1  |  LOG  Processing Mauritania
whed_1  |  RESULT  Mauritania total result 5
whed_1  |  LOG  Processing Mauritius
whed_1  |  RESULT  Mauritius total result 7
whed_1  |  LOG  Processing Mexico
whed_1  |  RESULT  Mexico total result 1642
whed_1  |  LOG  Processing Moldova
whed_1  |  RESULT  Moldova total result 25
whed_1  |  LOG  Processing Monaco
whed_1  |  RESULT  Monaco total result 2
whed_1  |  LOG  Processing Mongolia
whed_1  |  RESULT  Mongolia total result 52
whed_1  |  LOG  Processing Montenegro
whed_1  |  RESULT  Montenegro total result 8
whed_1  |  LOG  Processing Morocco
whed_1  |  RESULT  Morocco total result 157
whed_1  |  LOG  Processing Mozambique
whed_1  |  RESULT  Mozambique total result 40
whed_1  |  LOG  Processing Myanmar
whed_1  |  RESULT  Myanmar total result 99
whed_1  |  LOG  Processing Namibia
whed_1  |  RESULT  Namibia total result 4
whed_1  |  LOG  Processing Nepal
whed_1  |  RESULT  Nepal total result 12
whed_1  |  LOG  Processing Netherlands
whed_1  |  RESULT  Netherlands total result 70
whed_1  |  LOG  Processing New Zealand
whed_1  |  RESULT  New Zealand total result 29
whed_1  |  LOG  Processing Nicaragua
whed_1  |  RESULT  Nicaragua total result 52
whed_1  |  LOG  Processing Niger
whed_1  |  RESULT  Niger total result 11
whed_1  |  LOG  Processing Nigeria
whed_1  |  RESULT  Nigeria total result 125
whed_1  |  LOG  Processing North Macedonia (Republic of)
whed_1  |  RESULT  North Macedonia (Republic of) total result 20
whed_1  |  LOG  Processing Norway
whed_1  |  RESULT  Norway total result 32
whed_1  |  LOG  Processing Oman
whed_1  |  RESULT  Oman total result 53
whed_1  |  LOG  Processing Pakistan
whed_1  |  RESULT  Pakistan total result 153
whed_1  |  LOG  Processing Palestine
whed_1  |  RESULT  Palestine total result 27
whed_1  |  LOG  Processing Panama
whed_1  |  RESULT  Panama total result 26
whed_1  |  LOG  Processing Papua New Guinea
whed_1  |  RESULT  Papua New Guinea total result 9
whed_1  |  LOG  Processing Paraguay
whed_1  |  RESULT  Paraguay total result 67
whed_1  |  LOG  Processing Peru
whed_1  |  RESULT  Peru total result 140
whed_1  |  LOG  Processing Philippines
whed_1  |  RESULT  Philippines total result 1330
whed_1  |  LOG  Processing Poland
whed_1  |  RESULT  Poland total result 349
whed_1  |  LOG  Processing Portugal
whed_1  |  RESULT  Portugal total result 89
whed_1  |  LOG  Processing Qatar
whed_1  |  RESULT  Qatar total result 4
whed_1  |  LOG  Processing Romania
whed_1  |  RESULT  Romania total result 76
whed_1  |  LOG  Processing Russian Federation
whed_1  |  RESULT  Russian Federation total result 718
whed_1  |  LOG  Processing Rwanda
whed_1  |  RESULT  Rwanda total result 14
whed_1  |  LOG  Processing Saint Kitts and Nevis
whed_1  |  RESULT  Saint Kitts and Nevis total result 1
whed_1  |  LOG  Processing Samoa
whed_1  |  RESULT  Samoa total result 2
whed_1  |  LOG  Processing San Marino
whed_1  |  RESULT  San Marino total result 1
whed_1  |  LOG  Processing Sao Tome and Principe
whed_1  |  RESULT  Sao Tome and Principe total result 1
whed_1  |  LOG  Processing Saudi Arabia
whed_1  |  RESULT  Saudi Arabia total result 51
whed_1  |  LOG  Processing Senegal
whed_1  |  RESULT  Senegal total result 71
whed_1  |  LOG  Processing Serbia
whed_1  |  RESULT  Serbia total result 15
whed_1  |  LOG  Processing Seychelles
whed_1  |  RESULT  Seychelles total result 1
whed_1  |  LOG  Processing Sierra Leone
whed_1  |  RESULT  Sierra Leone total result 3
whed_1  |  LOG  Processing Singapore
whed_1  |  RESULT  Singapore total result 9
whed_1  |  LOG  Processing Slovak Republic
whed_1  |  RESULT  Slovak Republic total result 32
whed_1  |  LOG  Processing Slovenia
whed_1  |  RESULT  Slovenia total result 42
whed_1  |  LOG  Processing Solomon Islands
whed_1  |  RESULT  Solomon Islands total result 3
whed_1  |  LOG  Processing Somalia
whed_1  |  RESULT  Somalia total result 41
whed_1  |  LOG  Processing South Africa
whed_1  |  RESULT  South Africa total result 49
whed_1  |  LOG  Processing South Sudan
whed_1  |  RESULT  South Sudan total result 5
whed_1  |  LOG  Processing Spain
whed_1  |  RESULT  Spain total result 112
whed_1  |  LOG  Processing Sri Lanka
whed_1  |  RESULT  Sri Lanka total result 26
whed_1  |  LOG  Processing Sudan
whed_1  |  RESULT  Sudan total result 5
whed_1  |  LOG  Processing Suriname
whed_1  |  RESULT  Suriname total result 2
whed_1  |  LOG  Processing Sweden
whed_1  |  RESULT  Sweden total result 44
whed_1  |  LOG  Processing Switzerland
whed_1  |  RESULT  Switzerland total result 33
whed_1  |  LOG  Processing Syrian Arab Republic
whed_1  |  RESULT  Syrian Arab Republic total result 22
whed_1  |  LOG  Processing Tajikistan
whed_1  |  RESULT  Tajikistan total result 20
whed_1  |  LOG  Processing Tanzania
whed_1  |  RESULT  Tanzania total result 36
whed_1  |  LOG  Processing Thailand
whed_1  |  RESULT  Thailand total result 146
whed_1  |  LOG  Processing Timor-Leste
whed_1  |  RESULT  Timor-Leste total result 10
whed_1  |  LOG  Processing Togo
whed_1  |  RESULT  Togo total result 21
whed_1  |  LOG  Processing Tonga
whed_1  |  RESULT  Tonga total result 1
whed_1  |  LOG  Processing Trinidad and Tobago
whed_1  |  RESULT  Trinidad and Tobago total result 5
whed_1  |  LOG  Processing Tunisia
whed_1  |  RESULT  Tunisia total result 41
whed_1  |  LOG  Processing Turkey
whed_1  |  RESULT  Turkey total result 172
whed_1  |  LOG  Processing Turkmenistan
whed_1  |  RESULT  Turkmenistan total result 17
whed_1  |  LOG  Processing Uganda
whed_1  |  RESULT  Uganda total result 40
whed_1  |  LOG  Processing Ukraine
whed_1  |  RESULT  Ukraine total result 296
whed_1  |  LOG  Processing United Arab Emirates
